GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_005,ru.job4j.iterator,PrimeIterator,7,78,3,11,3,22,3,8,0,4
chapter_005,ru.job4j.iterator,EvenIterator,6,53,3,3,1,15,3,3,0,3
chapter_005,ru.job4j.iterator,Converter,0,9,0,0,0,2,0,2,0,2
chapter_005,ru.job4j.iterator,Converter.new Iterator() {...},14,81,4,12,3,17,4,8,0,4
chapter_005,ru.job4j.iterator,ArrayIterator,5,88,2,6,1,17,2,5,0,3
chapter_005,ru.job4j.quiz,StringComparison,6,206,3,21,3,35,3,14,0,5
chapter_005,ru.job4j.map,User,8,82,5,5,4,16,5,4,0,4
chapter_005,ru.job4j.map,Handbook.Node,52,9,8,0,10,4,7,1,3,1
chapter_005,ru.job4j.map,Handbook,76,118,8,6,10,25,8,6,2,5
chapter_005,ru.job4j.generic,RoleStore,0,3,0,0,0,1,0,1,0,1
chapter_005,ru.job4j.generic,Base,8,29,3,3,3,8,4,4,1,4
chapter_005,ru.job4j.generic,UserStore,0,3,0,0,0,1,0,1,0,1
chapter_005,ru.job4j.generic,User,0,6,0,0,0,3,0,1,0,1
chapter_005,ru.job4j.generic,AbstractStore,4,27,1,1,1,7,1,4,0,4
chapter_005,ru.job4j.generic,Role,0,6,0,0,0,3,0,1,0,1
chapter_005,ru.job4j.generic,SimpleArray,43,120,13,7,9,29,13,6,3,6
chapter_005,ru.job4j.tree,Tree.new Iterator() {...},48,0,6,0,7,0,6,0,3,0
chapter_005,ru.job4j.tree,SimpleBST.Node,0,31,0,0,0,4,0,2,0,2
chapter_005,ru.job4j.tree,Tree.Node,0,26,0,0,0,5,0,2,0,2
chapter_005,ru.job4j.tree,Tree,62,133,14,12,18,31,13,7,2,5
chapter_005,ru.job4j.tree,SimpleBST,26,97,5,11,6,26,5,9,1,5
chapter_005,ru.job4j.tree.additionally,Company,60,93,15,7,9,24,10,7,1,5
chapter_005,ru.job4j.lafore.recursion,Triangle,79,0,2,0,19,0,6,0,5,0
chapter_005,ru.job4j.lafore.recursion,Factorial,19,0,2,0,4,0,4,0,3,0
chapter_005,ru.job4j.set,SimpleLinkedSet,7,58,4,8,3,16,4,7,0,5
chapter_005,ru.job4j.set,SimpleHashTable,80,119,7,5,11,22,7,7,2,6
chapter_005,ru.job4j.set,SimpleSet,23,109,2,12,3,23,3,11,1,6
chapter_005,ru.job4j.list,SinglyLinkedList.new Iterator() {...},5,31,2,2,1,7,2,3,0,3
chapter_005,ru.job4j.list,SimpleStack,0,17,0,0,0,5,0,3,0,3
chapter_005,ru.job4j.list,DynamicList.new Iterator() {...},5,36,3,3,1,5,3,3,0,3
chapter_005,ru.job4j.list,DynamicList,14,77,4,6,5,14,5,5,1,4
chapter_005,ru.job4j.list,Node,0,32,0,4,0,13,0,4,0,2
chapter_005,ru.job4j.list,SinglyLinkedList.Node,19,12,0,0,1,5,1,1,1,1
chapter_005,ru.job4j.list,SimpleQueue,0,17,0,0,0,5,0,3,0,3
chapter_005,ru.job4j.list,SinglyLinkedList,29,194,4,20,2,52,5,17,2,8
chapter_005,ru.job4j.xml,OrderBook.new DefaultHandler() {...},0,53,0,4,0,12,0,4,0,2
chapter_005,ru.job4j.xml,OrderBook,3,186,0,12,2,37,0,13,0,7
chapter_005,ru.job4j.xml,Order,80,47,16,0,11,13,10,7,2,7
