2018-06-07 15:40:47,709 INFO [main] AbstractTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-06-07 15:40:47,710 INFO [main] AbstractTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@102efc59, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3936df72, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e8e0dec, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12d1f1d4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@75fa1be3]
2018-06-07 15:40:47,738 INFO [main] AbstractApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@7a389761: startup date [Thu Jun 07 15:40:47 CEST 2018]; root of context hierarchy
2018-06-07 15:40:47,828 INFO [main] AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-06-07 15:40:47,941 INFO [main] DriverManagerDataSource - Loaded JDBC driver: org.hsqldb.jdbcDriver
2018-06-07 15:40:47,976 INFO [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.HSQLDialect
2018-06-07 15:40:47,993 INFO [main] TransactionFactoryInitiator - HHH000399: Using default transaction strategy (direct JDBC transactions)
2018-06-07 15:40:47,994 INFO [main] ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
2018-06-07 15:40:48,152 INFO [main] SchemaExport - HHH000227: Running hbm2ddl schema export
2018-06-07 15:40:48,158 INFO [main] SchemaExport - HHH000230: Schema export complete
2018-06-07 15:40:48,212 INFO [main] HibernateTransactionManager - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@17c2d509] of Hibernate SessionFactory for HibernateTransactionManager
2018-06-07 15:40:48,269 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@68d651f2, testMethod = testNotFound@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
2018-06-07 15:40:48,319 INFO [main] TransactionContext - Rolled back transaction for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@68d651f2, testMethod = testNotFound@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-06-07 15:40:48,325 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@612e21b9, testMethod = testRemoveNotFound@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
2018-06-07 15:40:48,329 INFO [main] TransactionContext - Rolled back transaction for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@612e21b9, testMethod = testRemoveNotFound@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-06-07 15:40:48,333 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@312b34e3, testMethod = testFind@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
2018-06-07 15:40:48,334 INFO [main] TransactionContext - Rolled back transaction for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@312b34e3, testMethod = testFind@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-06-07 15:40:48,348 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@26844abb, testMethod = testAddAndFind@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
2018-06-07 15:40:48,358 INFO [main] TransactionContext - Rolled back transaction for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@26844abb, testMethod = testAddAndFind@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-06-07 15:40:48,361 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@21079a12, testMethod = testAddRemoveByUuid@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
2018-06-07 15:40:48,387 INFO [main] TransactionContext - Rolled back transaction for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@21079a12, testMethod = testAddRemoveByUuid@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2018-06-07 15:40:48,393 INFO [main] TransactionContext - Began transaction (1) for test context [DefaultTestContext@7915bca3 testClass = ContextMappingDAOTest, testInstance = org.sakaiproject.component.app.scheduler.ContextMappingDAOTest@1bc0d349, testMethod = testAddRemove@ContextMappingDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@6c9320c2 testClass = ContextMappingDAOTest, locations = '{}', classes = '{class org.sakaiproject.component.app.scheduler.ContextMappingConfiguration}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@761956ac]; rollback [true]
